id,perturbation_spread,flip_rate,text_length,n_valid,mean_cosine,mean_jaccard_dist
A01206,0.49377275171421536,0.4,1584,5,0.948627233505249,0.6438432081235747
A01207,0.07124577705836023,0.0,1266,5,0.9182801723480225,0.7579078779649455
A01208,0.4155969006552516,0.6,1861,5,0.9103147745132446,0.6735773684398048
A01209,0.004390969582058737,0.0,487,2,0.8288615643978119,0.7521681749622926
A01210,nan,nan,409,0,nan,nan
A01211,nan,nan,444,0,nan,nan
A01212,0.3672173069916632,0.8,966,5,0.8526576161384583,0.7566264100992746
A01213,0.010253246103493466,0.0,607,4,0.8460328131914139,0.8128974863718958
A01214,0.064098064545418,0.0,907,4,0.822240948677063,0.715942865874581
A01215,nan,nan,466,0,nan,nan
A01216,0.027354451480690566,0.0,545,5,0.8656221151351928,0.7160855959885868
A01217,0.003458495068990629,0.0,1346,5,0.9150969624519348,0.79199553225361
A01218,nan,nan,590,0,nan,nan
A01219,0.006532702670997851,0.0,1049,5,0.8230380058288574,0.7552437973219485
A01220,0.00729284422533577,0.0,1749,5,0.963131594657898,0.42015027344118794
A01221,0.4070776549591061,0.5,2032,4,0.9528400748968124,0.36888248970134085
A01222,0.04571270336066243,0.0,1741,5,0.9763846039772034,0.4309714913837217
A01223,0.0024413228039387377,0.0,771,5,0.9729517102241516,0.38650712092494544
A01224,0.0028953865798865518,0.0,1248,5,0.982457947731018,0.37354864756884354
A01225,0.026951717031974035,0.0,662,5,0.9543861985206604,0.44763257399080836
A01226,0.0011440049505688922,0.0,1288,5,0.9820777654647828,0.4191276136786831
A01227,0.0010843380475351505,0.0,925,5,0.9868465304374695,0.40204846312909026
A01228,0.013067994301703342,0.0,1699,5,0.9748604893684387,0.43867464789296423
A01229,0.006538488351627622,0.0,990,5,0.9196351051330567,0.4081095944238876
A01230,0.06826245828438322,0.0,1113,5,0.9400551199913025,0.4469998355446162
A01231,0.0172919552668128,0.0,1286,5,0.917252516746521,0.6727907160030797
A01232,nan,nan,1264,0,nan,nan
A01233,0.0012250142210776863,0.0,429,5,0.8450414896011352,0.7598127381080338
A01234,0.32359251435447767,0.2,687,5,0.9160930633544921,0.8144777065215244
A01235,0.019829208725179636,0.0,918,1,0.8219335079193115,0.7627118644067796
A01236,0.004652849153713749,0.0,443,5,0.8806181788444519,0.7868890279734517
A01237,0.3832913425419607,1.0,501,5,0.9303839921951294,0.7113083515415678
A01238,nan,nan,373,0,nan,nan
A01239,0.687307470649564,1.0,604,1,0.804661750793457,0.8055555555555556
A01240,0.06381351870379594,0.0,259,5,0.9393361449241638,0.6369957496067796
A01241,0.06159142996130256,0.0,873,5,0.8477666497230529,0.8022797222942414
A01242,0.026567801056040154,0.0,744,5,0.9463092803955078,0.8061364818073491
A01243,0.011302495488576125,0.0,1077,5,0.924770963191986,0.7446376709673959
A01244,0.08776383176110956,0.0,469,5,0.8990029215812683,0.8022620837808809
A01245,0.37136281847328984,1.0,498,5,0.8937669634819031,0.725
A01246,0.01009703145263151,0.0,964,5,0.9421573877334595,0.7061782493738681
A01247,0.027753328577086876,0.0,620,5,0.8830427527427673,0.7489866077715894
A01248,0.4803542936748587,0.8,740,5,0.9480639815330505,0.7847293034950862
A01249,0.3495235522688528,0.2,1122,5,0.9284415364265441,0.7941826299211698
A01250,0.31067600647645865,0.2,1529,5,0.8802514553070069,0.7299629032711696
A01251,0.38958847878642855,1.0,1237,5,0.9214418411254883,0.7731732125768292
A01252,0.43853481224826557,0.4,2537,5,0.8935014367103576,0.7396838767264665
A01253,0.47840154305809063,0.4,1126,5,0.9552226662635803,0.4822443313540858
A01254,0.0002114961863811408,0.0,2545,5,0.9474778532981872,0.6457846925463157
A01255,0.003944126788142716,0.0,1404,5,0.9587397813796997,0.4981355180542467
A01256,0.3453763642186416,0.4,1131,5,0.9221328973770142,0.6338635674324806
A01257,0.0083493037887249,0.0,1699,5,0.9519010424613953,0.5817663855239971
A01258,0.48671029054912096,0.4,1691,5,0.9497953414916992,0.4325366867559228
A01259,0.012942617893628744,0.0,2519,5,0.978358018398285,0.550007257676095
A01260,0.046637995448503,0.0,1694,5,0.9680101275444031,0.6257406059763971
A01261,0.10594503224754614,0.0,1852,5,0.9573986053466796,0.5125265363165378
A01262,0.24238600948146927,1.0,1445,5,0.9847488164901733,0.47115965557376693
A01263,0.043614332935908384,0.0,716,5,0.9662540793418884,0.6544504194982116
A01264,8.589778215594965e-05,0.0,2651,5,0.9579208254814148,0.6932339514855139
A01265,0.00518000860128799,0.0,1582,5,0.9287047505378723,0.6382628369073382
A01266,0.0844494874579901,0.0,1330,5,0.9339495062828064,0.570977696389727
A01267,0.3979153381786534,1.0,2394,5,0.9279722094535827,0.612323867263955
A01268,0.4108753897653425,0.8,592,5,0.8908186316490173,0.7164488662002225
A01269,0.3806232247925769,1.0,425,5,0.8981480002403259,0.7061666322305634
A01270,0.012367861049638338,0.0,2300,5,0.9338911175727844,0.7149202594123076
A01271,0.0005859258833380028,0.0,2220,5,0.9641263961791993,0.5957124135441176
A01272,0.36525524380191504,1.0,560,5,0.9152119040489197,0.7121036731527463
A01273,0.000359697509370593,0.0,1657,5,0.9548527956008911,0.5773627060385906
A01274,0.40120527454439714,1.0,665,5,0.9250679731369018,0.6647302210899051
A01275,6.222576766170777e-05,0.0,2295,1,0.8304568529129028,0.7277227722772277
A01276,0.003139373606281153,0.0,1447,5,0.9110303401947022,0.7420684434636449
A01277,0.09184607772611877,0.0,2266,4,0.8386581093072891,0.7337188633506374
A01278,0.39346871015016777,0.2,2148,5,0.8876209616661072,0.7012031778484527
A01279,0.0005477013624567769,0.0,2520,5,0.9222194790840149,0.710590171184904
A01280,0.0005449120291463378,0.0,2236,5,0.8798815608024597,0.7177752401121087
A01281,0.6831750603980349,1.0,1982,1,0.823193371295929,0.7358490566037736
A01282,0.4842470148075796,0.4,2344,5,0.945176875591278,0.7100863706036084
A01283,0.003244333326011972,0.0,2077,5,0.9285722255706788,0.6673973079740163
A01284,nan,nan,511,0,nan,nan
A01285,0.49551488014601186,0.8,2275,5,0.9106932759284974,0.700445506027973
A01286,0.006803260087682552,0.0,2185,5,0.9389167666435242,0.6525169900767628
A01287,0.3783207152203055,0.2,2465,5,0.8864465236663819,0.7187032012228928
A01288,0.4044662392424513,1.0,245,5,0.915799593925476,0.6066402486402487
A01289,nan,nan,1734,0,nan,nan
A01290,0.01094845137718094,0.0,1415,5,0.909270191192627,0.7068504539427846
A01291,0.39216829295002614,0.2,1668,5,0.9388621091842652,0.5797005806643463
A01292,nan,nan,1726,0,nan,nan
A01293,0.00390382894474174,0.0,2322,5,0.9216899037361145,0.6911919534835067
A01294,0.14647435728367258,0.0,929,5,0.8527571678161621,0.7859238213739828
A01295,0.2612125550596621,0.2,1886,5,0.9625098466873169,0.4965199809548427
A01296,0.34472949646680334,0.2,1018,5,0.9453317761421204,0.6413390162479347
A01297,0.0017626958792595407,0.0,1955,5,0.923425018787384,0.671821670715719
A01298,nan,nan,802,0,nan,nan
A01299,nan,nan,530,0,nan,nan
A01300,0.0005861195511617904,0.0,2291,5,0.8536506295204163,0.7496334490438793
A01301,0.019280634297051243,0.0,1295,1,0.8418015837669373,0.7714285714285715
A01302,nan,nan,982,0,nan,nan
A01303,0.09943040930265643,0.0,2159,5,0.8862864136695862,0.6970784253445335
A01304,0.0013673043098941624,0.0,1438,4,0.8354364484548569,0.7884685480240726
A01305,0.0019437266423282544,0.0,1943,5,0.9103792905807495,0.6635541003093841
A01306,nan,nan,330,0,nan,nan
A01307,0.01804236966774873,0.0,1044,2,0.8883978128433228,0.8076811594202898
A01308,0.2744538598803857,0.2,1306,5,0.9294277429580688,0.6487396255487783
A01309,0.35023413423842814,0.6,1538,5,0.8754587292671203,0.4691233579549639
A01310,0.012125063488770836,0.0,1528,5,0.9066884875297546,0.5173849365053576
A01311,0.0083945392831516,0.0,1376,1,0.8488912582397461,0.368421052631579
A01312,0.004546848660474836,0.0,430,5,0.9781110048294067,0.49411468033556927
A01313,0.394804909512888,0.2,551,5,0.9523519515991211,0.6338477743798845
A01314,0.3264341582769181,1.0,601,5,0.8888460874557496,0.49417297514570907
A01315,0.34488423163688847,0.2,1423,5,0.9605709671974182,0.6265648054964443
A01316,0.28032187120522795,0.4,1924,5,0.91478111743927,0.6392773872914187
A01317,0.13291647340371437,0.0,2098,5,0.9719987034797668,0.4958626997809941
A01318,0.07212153655105984,0.0,1531,3,0.8245845039685568,0.5573412698412699
A01319,nan,nan,2155,0,nan,nan
A01320,0.0018998706948008413,0.0,1769,1,0.8301743865013123,0.7988338192419825
A01321,0.1411618594033385,0.0,2107,5,0.9089214563369751,0.7143814911507136
A01322,0.03809193827541876,0.0,280,5,0.8902547836303711,0.7421392549083455
A01323,0.009439441407586863,0.0,1933,4,0.8090309351682663,0.8451032929193402
A01324,0.48689471180176114,0.8,2167,5,0.8979665040969849,0.7259628764940731
A01325,nan,nan,1583,0,nan,nan
A01326,nan,nan,2330,0,nan,nan
A01327,nan,nan,1556,0,nan,nan
A01328,0.06657313039088607,0.0,510,5,0.9637705683708191,0.7353992318638441
A01329,0.047960411399419686,0.0,1992,5,0.9452402234077454,0.6296767776866135
A01330,0.0005316041675571823,0.0,1961,5,0.8997223734855652,0.47297570850202436
A01331,0.015788426446632333,0.0,2383,5,0.8929050087928772,0.7559869573837059
A01332,nan,nan,1812,0,nan,nan
A01333,nan,nan,1864,0,nan,nan
A01334,0.13491211338452233,0.0,2204,3,0.8181384603182474,0.784356387334541
A01335,0.0022254038020958506,0.0,2103,4,0.8494737148284912,0.6013176942516707
A01336,0.00012241503066842024,0.0,1756,4,0.8630405366420746,0.6598420888055035
A01337,nan,nan,2227,0,nan,nan
A01338,4.5078050124670234e-05,0.0,2138,5,0.902873980998993,0.5144183827953936
A01339,0.006162158361079839,0.0,1085,5,0.8934709310531617,0.6531756494484965
A01340,0.0034427402122155113,0.0,2322,5,0.8325540900230408,0.707681721858021
A01341,0.09604258814281233,0.0,2145,5,0.9251487851142883,0.6877769111391757
A01342,0.33706210539124104,0.2,2098,5,0.9258148193359375,0.583751287008717
A01343,0.012437152003693133,0.0,2348,5,0.915617048740387,0.5819067161112303
A01344,0.40961416319480554,0.6,2073,5,0.9427110195159912,0.5660493144626272
A01345,0.35903511302519486,1.0,2103,5,0.9516804695129395,0.5958938529432037
A01346,0.3171333704333561,1.0,2408,5,0.8418438196182251,0.49741241565688527
A01347,0.05417525941340844,0.0,1545,5,0.9257988691329956,0.6324441027808441
A01348,0.3357452989233797,0.6,2309,5,0.9713079690933227,0.5324477679758448
A01349,0.12181804507926694,0.0,2444,5,0.940532112121582,0.6326201988375966
A01350,0.567353865911878,1.0,2426,2,0.855549693107605,0.7230186138441823
A01351,0.254474963788164,0.2,1358,5,0.9434109926223755,0.42003759398496243
A01352,0.33725267764988576,1.0,680,5,0.9460984468460083,0.6845097400833575
A01353,0.009292982321887295,0.0,525,5,0.9678053736686707,0.6729811666803537
A01354,0.39711175149709943,1.0,933,5,0.9725396752357482,0.6961207882565084
A01355,0.3962218805635562,1.0,701,5,0.9407740116119385,0.6959555168210405
A01356,0.25604672365456965,0.8,1265,5,0.9157934188842773,0.5448136645962732
A01357,0.40047178356021185,1.0,787,5,0.9584572434425354,0.6925374041163516
A01358,0.03624160730217183,0.0,675,5,0.9726457834243775,0.5639373405624999
A01359,0.21713960448175518,1.0,804,5,0.9156625747680665,0.6201427647352822
A01360,0.023750876108093313,0.0,279,5,0.9524677276611329,0.4902439024390244
